"words";"score"
"absurd";-8
"absurdalnie";-8
"absurdalny";-8
"achillesowy";-3
"atrapa";-4
"awaria";-5
"awaryjność";-5
"awaryjny";-5
"badziew";-7
"badziewiasty";-7
"badziewie";-7
"badziewny";-7
"bałagan";-3
"bambuko";-4
"bezmyślnie";-3
"beznadzieja";-7
"beznadziejnie";-7
"beznadziejny";-7
"bezradny";-3
"bezsensownie";-7
"bezsensowny";-7
"bezuzyteczny";-8
"bezużyteczny";-8
"bieda";-3
"biedak";-3
"biedny";-3
"bledy";-5
"bluescreeny";-2
"błąd";-5
"błędnie";-5
"błędny";-5
"błędow";-5
"błędów";-5
"błędy";-5
"bolaczka";-5
"bolączka";-5
"boleć";-5
"bolesny";-5
"boleści";-5
"borykać";-5
"ból";-5
"brak";-5
"brakować";-5
"brud";-4
"brudny";-4
"brudzić";-4
"brutalny";-6
"brzydki";-5
"brzydko";-5
"bubel";-6
"buc";-3
"buczeć";-3
"bug";-5
"bujda";-6
"bzdura";-6
"cham";-4
"chaos";-4
"chłam";-7
"cierpieć";-3
"ciezko";-3
"cieżkich";-3
"cięzko";-3
"ciężar";-3
"ciężkawy";-3
"ciężki";-3
"ciężkich";-3
"ciężko";-3
"cudować";-4
"cwaniak";-4
"debil";-5
"defekt";-5
"degradować";-4
"denerwować";-5
"denerwujący";-5
"denerwuje";-5
"denny";-5
"depresja";-5
"druzgocący";-7
"dyskomfort";-4
"dyskonfort";-4
"dziadostwo";-8
"dziadowski";-8
"dziura";-4
"dziwnie";-3
"dziwny";-3
"energożernych";-5
"faaatalna";-9
"fatalna";-9
"fatalnie";-9
"fatalny";-9
"feler";-6
"felerny";-6
"fiasko";-8
"frajer";-4
"gbur";-3
"głośny";-5
"głupi";-5
"głupota";-5
"gówno";-8
"gumowaty";-2
"hałas";-3
"hałaśliwy";-3
"idiota";-5
"idiotycznie";-5
"idiotyczny";-5
"ignorancja";-4
"irytować";-5
"irytujący";-5
"jarmarczny";-3
"jebać";-5
"kanciasta";-3
"kanciasty";-3
"kanciate";-3
"kańciastą";-3
"katować";-7
"kicha";-8
"kiczowaty";-8
"kiepski";-8
"kiepsko";-8
"klapa";-7
"klockowaty";-6
"klozetowy";-6
"kłamać";-5
"kłamstwo";-5
"kłopot";-5
"kłopotliwy";-5
"komplikować";-4
"kompromitacja";-8
"konflikt";-4
"kontrowersyjny";-3
"koszmar";-10
"koszmarnie";-10
"koszmarny";-10
"kosztowny";-5
"kpić";-9
"kpina";-9
"kradzież";-7
"kretynizm";-8
"krytyka";-7
"krytykować";-7
"krzykliwy";-4
"krzywdzący";-4
"krzywić";-4
"krzywy";-4
"kuleć";-4
"lagow";-4
"lagował";-4
"lagowania";-4
"lagów";-4
"lagujący";-4
"laguje";-4
"lamus";-3
"lekceważyć";-4
"licho";-4
"lichy";-4
"lipa";-6
"makabrycznie";-9
"mankament";-3
"marne";-4
"marnie";-4
"marny";-4
"martwić";-4
"martwy";-4
"marudzen";-3
"marudzeń";-3
"marudzić";-3
"masakra";-10
"masakrycznie";-10
"masakryczny";-10
"masówka";-2
"mdły";-2
"męczarnia";-8
"męczący";-7
"męczyć";-7
"męka";-8
"miernota";-6
"mierny";-6
"minus";-5
"minusek";-5
"minusik";-5
"minusikiem";-5
"minusow";-5
"minusów";-5
"mizernie";-7
"mizerny";-7
"mydelniczka";-7
