words;score
ok;5
aktualny;4
aktywny;4
ambicja;6
ambitny;6
ambrozja;8
arcydzieło;10
atrakcyjnie;8
atrakcyjność;8
atrakcyjny;8
atut;5
bajecznie;8
bajeczny;8
bajer;7
bajera;7
bajerow;7
bajerów;7
bajka;8
bdb;6
bestseller;10
bezawaryjnie;5
bezawaryjność;5
bezawaryjny;5
bezbłędnie;5
bezbłędny;5
bezcenny;8
bezkonkurencyjny;8
bezpieczeństwo;4
bezpiecznie;4
bezpieczny;4
bezpłatnie;3
bezpłatny;3
bezproblemowo;4
bezproblemowość;4
bezproblemowy;4
bezstratny;4
bezstresowy;4
beztroski;4
błyskawicznie;6
błyskawiczny;6
bogactwo;5
bogaty;5
bomba;7
bombowy;7
boski;9
brawa;4
brawo;4
cacko;7
cacuszko;7
cacy;7
celująco;9
cenić;5
cenny;5
chwalić;5
cichość;4
cichy;4
ciekawy;4
cierpliwość;3
cieszyć;4
cud;7
cudeńko;7
cudny;7
cudo;7
cudownie;7
cudowny;7
czad;7
czadowy;7
czule;3
czułości;3
czułość;3
czuły;3
czysta;3
czysto;3
czystość;3
czysty;3
czyszczący;3
czyszczenie;3
czyścić;3
czytelność;3
czytelny;3
darmowy;3
dbać;3
dbałościao;3
dbałością;3
dbałość;3
dbanie;3
delikatnie;3
delikatność;3
delikatny;3
długowytrzymująca;4
dobra;5
dobre;5
dobry;5
dobrze;5
dodać;4
dodakowymi;4
dodanie;4
dodatek;4
dodatkowo;4
dodatkowy;4
dodatkowymi;4
dokładnie;5
dokładny;5
doskonala;10
doskonale;10
doskonaly;10
doskonała;10
doskonały;10
dostatecznie;3
dostateczny;3
dostępność;4
dostępny;4
doświadczony;4
działa;5
działać;5
działają;5
działanie;5
działąją;5
dzielnie;4
dźwięczny;3
ekskluzywny;9
eksta;8
ekstra;8
ekstraklasa;8
elegancja;5
elegancki;5
energooszczędny;4
ergonomia;4
estetycznie;4
estetyczny;4
estetyka;4
extra;8
fajnie;6
fajno;6
fajność;6
fajny;6
fajowy;6
fantastycznie;8
fantastyczny;8
fascynujący;8
faworyt;6
faworyta;6
fenomen;8
fenomenalnie;8
fenomenalny;8
frajda;6
funkcionalny;5
funkcjonalnie;5
funkcjonalniejszy;5
funkcjonalnosc;5
funkcjonalnosć;5
funkcjonalnośc;5
funkcjonalność;5
funkcjonalny;5
funkconalny;5
funkcyonalnoscia;5
funkjonalny;5
genialnie;10
genialny;10
geniusz;10
godny;5
hit;9
hula;5
hulać;5
idealmy;10
idealnie;10
idealny;10
ideał;10
idelany;10
imponująco;8
imponujący;8
innowacja;7
innowacyjny;7
interesujący;4
istotnie;3
istotny;3
jakosc;4
jakosci;4
jakoscia;4
jakosć;4
jakośc;4
jakośchd;4
jakości;4
jakością;4
jakościowo;4
jakościowy;4
jakość;4
kapitalny;8
klasa;6
kochać;8
kochany;8
komfort;4
komfortowo;4
komfortowy;4
kompatibylny;4
kompatybilność;4
kompatybilny;4
komplement;4
konkurencyjny;4
korzystanej;4
korzystnej;4
korzystny;4
korzyść;4
kosmos;8
kozacki;7
kozacko;7
kozak;7
kultowy;8
kuszący;5
ladne;5
ladnie;5
ladny;5
lajtowy;4
legendarny;8
lepszeego;6
lepszego;6
lobią;5
lojalność;3
lubia;5
lubią;5
lubić;5
luksusowy;6
lux;6
ładne;5
ładnie;5
ładny;5
łandy;5
łaskawy;4
łatwo;5
łatwość;5
łatwy;5
łądnie;5
łądny;5
magia;7
magiczny;7
markowy;4
marzenia;7
marzenie;7
marzyć;7
mądrze;4
mily;5
milym;5
miło;5
miłosny;8
miłość;8
miłośnik;8
miły;5
miłym;5
mistrz;8
mistrzostwo;8
mistrzowski;8
modny;4
nacieszyć;5
nadawać;3
nadzieja;4
nadzwyczajny;7
najepszy;8
najlepsz;8
najlepsza;8
najlepszy;8
naklepszy;8
naturalny;5
niebiański;8
niebiosa;8
niebo;8
niebywały;8
niedrogi;5
nienaruszony;2
nieoceniony;6
nieodparty;6
nieograniczony;7
niepowtarzalny;6
nieprzeciętny;8
niesamowicie;10
niesamowity;10
nieskazitelnie;6
nieskomplikowany;6
niesłychanie;7
niewygórowany;3
niewymagajacego;3
niewymagającego;3
niewymagający;3
niezastąpiony;8
niezawodnie;8
niezawodnosc;8
niezawodność;8
niezawodny;8
nieziemski;8
nieziemsko;8
niezły;4
niezniszczalny;8
niezwykle;8
niezwykły;8
nieźle;4
nowinka;4
nowiutki;4
nowo;4
nowoczesniejsze;6
nowoczesność;6
nowoczesny;6
nowocześnie;6
nowocześniejsze;6
nowośc;5
nowość;5
nowy;4
nówka;4
obiecujący;6
obledna;8
obłędna;8
obłędnie;8
obłędny;8
oczarować;7
oczarowana;7
oczrowana;7
odporność;5
odporny;5
odpowiedni;5
odpowiedzialność;4
odpowiedzialny;4
odpowieni;5
okazale;6
okazja;6
okazyjny;6
okej;5
okey;5
opdorność;5
oplaca;5
opłaca;5
opłacać;5
opłacalny;5
optymalny;5
oryginalny;5
osiągnięcie;6
oszałamiać;7
oszałamiająco;7
oszałamiający;7
oszczedzac;5
oszczedzal;5
oszczedzania;5
oszczędności;5
oszczędność;5
oszczędny;5
oszczędzać;5
oszczędzał;5
oszczędzania;5
oszczędzanie;5
oszczędzić;5
oszołamiać;7
perfekcja;10
perfekcyjnie;10
perfekcyjny;10
perła;7
petarda;8
pewno;5
pewnoscia;5
pewnościa;5
pewnością;5
pewność;5
pewny;5
piekne;6
pieknego;6
pieknie;6
piekny;6
piękne;6
pięknego;6
pięknie;6
piękno;6
piękny;6
plus;5
plynnie;4
plynniej;4
plynnosc;4
płynnie;4
płynniej;4
płynniutko;4
płynność;4
płynny;4
pochwalic;5
pochwalić;5
pochwała;5
poczciwy;3
podniecać;8
podoba;5
podobac;5
podobać;5
pojemny;4
polecać;5
polecam;5
polecami;5
polecani;5
polecenie;5
polecic;5
polecić;5
polubić;5
pomagać;4
pomocny;4
pomóc;4
ponadczasowy;7
poprawny;3
popularność;4
popularny;4
poreczny;4
poręczność;4
poręczny;4
porzadku;3
porzadnego;4
porządek;3
porządku;3
porządnego;4
porządnie;4
porządny;4
posłuszeństwo;3
posłuszny;3
powalać;7
powalająco;7
powalający;7
powalić;7
pozytywny;5
pożyteczny;5
pracowity;4
praktyczność;4
praktyczny;4
prawdziwy;3
prawidłowo;3
prawidłowy;3
precyzja;4
precyzyjnie;4
precyzyjny;4
prestiżowy;8
priorytet;7
priorytetowy;7
profesjonalnie;4
profesjonalny;4
proporcjonalny;3
przecudny;8
przejrzyste;4
przejrzysty;4
przejzyste;4
przepadać;5
przepiekne;8
przepiękne;8
przepięknie;8
przepiękny;8
przewaga;5
przyciągający;6
przydatny;4
przydawać;4
przyjaciel;5
przyjazny;5
przyjemnie;5
przyjemnosc;5
przyjemnością;5
przyjemność;5
przyjemnośćią;5
przyjemny;5
przyjmny;5
przystepna;4
przystepny;4
przystępna;4
przystępny;4
przywiązanie;4
przyzwoity;4
racjonalny;4
radość;5
radośnie;5
rekomendacja;5
renomowany;6
rewela;10
rewelacja;10
rewelacyjnie;10
rewelacyjny;10
rewelka;10
rozchwytywać;7
rozpoznawalność;4
rozsądny;4
rozwiązanie;4
rozwiązywać;4
rozwijać;3
rozwinąć;3
rozwinięty;3
rzetelnie;4
rzetelny;4
satysfakcjonujący;4
schludny;3
sensowny;4
serdecznie;6
serdeczny;6
skutecznie;4
skuteczność;4
skuteczny;4
słitaśna;9
słitaśnie;9
słynąć;4
słynny;4
smiga;6
smigał;6
solidnie;5
solidność;5
solidny;5
sparwny;4
spełniać;5
spodobać;5
spoko;5
sprawnie;4
sprawny;4
sprostać;4
sprowadzony;5
sprzyjający;4
stabilizacja;5
stabilnie;5
stabilność;5
stabilny;5
staranie;4
starannie;4
staranność;4
staranny;4
stylowo;5
stylowy;5
sukces;7
suoer;8
supeeeer;8
super;8
superrr;8
superrrrrr;8
suuuper;8
swetny;9
swiente;9
swietna;9
swietne;9
swietnie;9
swietny;9
sympatyczny;7
szacun;4
szacunek;4
szanować;4
szanowny;4
szczęście;7
szczęśliwy;7
szlachetnie;4
ślicznie;7
śliczny;7
śmiga;6
śmigać;6
śmigał;6
świetna;9
świetne;9
świetnie;9
świetny;9
świeżo;4
świeżość;4
świeży;4
trafny;4
trwałość;5
trwały;4
ucieszyć;5
udany;6
udogodnienie;5
ukochany;8
ulubiene;8
ulubieniec;8
ulubione;8
ulubiony;8
ułatwiać;5
umieć;4
umożliwiać;4
unikalny;4
unikatowy;4
uniwersalny;4
urokliwie;5
uśmiech;6
uśmiechać;6
uśmiechnięty;6
uwielbiać;8
uwielbienie;8
uznanie;7
uznany;7
użyteczny;4
walor;5
walory;5
ważny;6
wiarygodny;4
wielbiciel;5
wierny;4
właściwy;5
wniebowzięty;8
wow;8
wspaiały;10
wspaniala;10
wspaniale;10
wspanialy;10
wspaniała;10
wspaniałe;10
wspaniałę;10
wspaniały;10
wsparcie;7
wszechstronny;7
wszsytkomający;7
wybitnie;10
wydajność;5
wydajny;5
wygoda;5
wygody;5
wymarzony;9
wymarzyć;9
wyróżniać;7
wysmienicie;7
wysmienita;7
wysmienity;7
wystarczający;2
wyśmienicie;7
wyśmienita;7
wyśmienity;7
wytrzymala;6
wytrzymale;6
wytrzymalność;6
wytrzymaly;6
wytrzymała;6
wytrzymałe;6
wytrzymałość;6
wytrzymały;6
wzorowo;7
wzorowy;7
zaaarąbisty;8
zaawansowana;6
zaawansowany;6
zabójczy;9
zachęcać;6
zachęcić;6
zachwalać;8
zachwycać;10
zachwycaja;10
zachwycajaca;10
zachwycają;10
zachwycająca;10
zachwycający;10
zachwycić;10
zachwyt;10
zaciekawić;5
zacny;5
zadowolenie;7
zadowolić;7
zadowolona;7
zadowolony;7
zadwolony;7
zadwowolona;7
zadziwiać;7
zadziwiająco;7
zadziwiający;7
zadziwić;7
zafascynować;8
zafowolona;7
zafowolony;7
zainteresowany;6
zajebisty;8
zakochać;9
zakochalam;9
zakochałam;9
zakochana;9
zakochany;9
zaleta;5
zarąbisty;8
zasługa;5
zasługiwać;5
zasłużony;5
zauroczyć;7
zdrowy;5
zdziałać;5
zgodny;5
zgrabność;5
zgrabny;5
zjawisko;8
znakomicie;9
znakomity;9
aktualna;4
aktualną;4
aktualne;4
aktualnego;4
aktualnej;4
aktualnemu;4
aktualni;4
aktualnie;4
aktualnych;4
aktualnym;4
aktualnymi;4
aktywna;4
aktywną;4
aktywne;4
aktywnego;4
aktywnej;4
aktywnemu;4
aktywni;4
aktywnie;4
aktywnych;4
aktywnym;4
aktywnymi;4
ambicjach;6
ambicjami;6
ambicją;6
ambicje;6
ambicję;6
ambicji;6
