content,brand,model,score,sentiment_original,score_dict,sentiment_dict
mały wąski oddałem sklepu mogłem zamówiłem internet wolałem dołożyć 600 kupić iphone 12 większy ekran a dodam używałem poprzedniego iphone 7 35 moim przypadku decyzja min 3 lata dłużej jestem zadowolony polecam iphone 12 większym ekranem 61 cala,Apple,iPhone12‌Pro256GB(niebieski),10,N,0.42105263157894735,P
not recommend buy from this store the iphone is not original there are many technical problems that have been returned and now in maintenance,Apple,iPhone12‌Pro256GB(niebieski),10,N,0.0,P
telefon chciał włączyć udało pomocą podłączenia komputera sam telefon dwóch dniach zaczął grzać wyłączać możliwości włączenia telefon został wysłany sprzedawcy a firma wysłała serwisu naprawa 3 tydzień czekam telefon wszystkiego dowiadywać samemu sprzedawca wykazuje zainteresowania tematem polecam nikomu lepiej dołożyć trochę mieć dobry telefonzobaczymy zakończy narazie mam kasy telefonu,Apple,iPhone12‌Pro256GB(niebieski),20,N,0.20408163265306123,P
czekacie moją opinię a 17 marca czekam wysyłkę dziś 22 marca dowiaduję macie towar wysyłacie kpina zapłacone dniu zamówienia ostatnie was pójdę media markt kupię ręki samym dniu pozdrawiam,Apple,iPhone12‌Pro256GB(niebieski),20,N,-0.3103448275862069,N
produkt sklep wysyła telefon prawie 6 kurierem rzucił telefon beton posesji żadnego potwierdzenia trochę słabe zwłaszcza zabezpieczony dobrze widziałem okna zabrać paczkę mógł każdy ulicy a wystarczyło wysłać potwierdzeniem odbioru raczej tutaj kupię,Apple,iPhone12‌Pro256GB(niebieski),40,N,0.030303030303030304,P
ogólnie taka cenę kupił ponownie przesiadłem iphone 7 plus żałuje mniejszy bateria słabiutka szczególnego,Apple,iPhone12‌Pro256GB(niebieski),40,N,-0.42857142857142855,N
niestety zawiodłam maxa zamówiłam dwa telefony wartości około 12 a towar byle zapakowany żadnej naklejki „ rzucać „ owinięte folia bąbelkową folia firmy kurierskiej dpd mało dostałam jeden telefon uszkodzeniem fabrycznym,Apple,iPhone12‌Pro256GB(niebieski),60,P,-0.25806451612903225,N
działa iphone pozycji horyzontalnej rozpoznaje twarzy brak prostego sposobu wyłączania wiecznie chodzi bateria szybciej padnie brak czytnika linii papilarnych jesteś masce pozostaje wklepanie kodu pin waga wymiary cegły ostrymi kantami etui nosić kieszeni da lepiej kupić 13 mini braku obiektywu 2x mniejszej baterii cena dodatkową pamięć absurdalna ktoś przyzwyczajony jabłuszka małego telefonu kupi androidowy odpowiednik 13 ceny,Apple,iPhone12‌Pro256GB(niebieski),70,P,-0.3157894736842105,N
jakość wykonania dobra chyba proces przeniesienia zawartości starego iphona nowy zawodny wykonaniu zgodnie wyświetlana instrukcja zawiesił resetować ustawień fabrycznych,Apple,iPhone12‌Pro256GB(niebieski),70,P,0.6842105263157895,P
przesiadlem sie 11 pro max 12 pro max mowiac szczerze zadna roznica nowego 11 mial lepiej trzymajaca baterie,Apple,iPhone12‌Pro256GB(niebieski),70,P,0.2222222222222222,P
